pV_FFA_P_inst;pV_DACH_P_inst;storage_ffa_E_max;storage_dach_E_max;Wind_P_el_n;CAPEX;one_minus_oa_times_oc
46253400.73546051;6503353.754670286;132687648782.82849;35784162827.24144;9124684.243439374;48815125.96336518;0.2705518211454958
11855812.044602502;16890005.908604264;120579226995.09114;19843384953.282093;7626538.29314853;37992687.282894485;0.31769243209165166
74725898.798885;15860738.759430155;15023928523.608492;22082628192.66985;16540941.832485622;69531088.92241926;0.19860489414648919
89617080.40382637;13312739.889875408;17663348191.05269;52134687160.87298;9598085.723396514;73542070.2784046;0.2452748738423608
91793127.31879483;13723733.747188944;19739516893.936714;47672524224.62446;2427276.445772125;69158578.4884431;0.3816292791163901
13132556.780686675;12379055.81868437;34528569938.760735;12329547410.602589;10420298.126987739;30391248.830116685;0.2899722871540439
91747272.00141367;15240679.243191432;148877451943.12363;43839873260.75164;11494467.320912521;84095006.57319392;0.22705661659911902
16137145.26907912;14331838.69501602;9985029127.650288;24268116631.18785;3095242.02633501;28647138.4440635;0.42066075654901636
30639186.85728276;2871966.005417662;10761900325.94349;21332137260.66335;8747561.982841864;28312911.114390545;0.29489751034978773
20157741.865568936;19709401.341153514;20613780236.218277;70618967049.37265;13279918.708669482;50701611.18653175;0.2438176005074444
6861826.030719876;10306151.832159895;102911385149.96855;51544153141.69805;15196754.540919023;38010840.086776525;0.27174408132478256
62715505.69188924;16006583.817511175;143733493909.01767;21407388224.372524;1965995.1067098822;59797275.464040935;0.4081928249523131
6323091.741978601;3964405.1197635964;145814688033.6551;55266362133.698654;14393368.521609686;33697677.01351026;0.3184611059256439
38919236.659802966;6033603.526646144;78758710202.27873;49594602580.25649;2423953.730535748;38574810.30183388;0.41976798503819013
3866993.344248358;4078286.2151070037;85359801661.95476;40912948243.16538;8787381.82352699;23026884.380980212;0.41317622672850307
71205269.01575854;343142.15057464817;98375219585.88246;59843908839.99188;4175212.485926013;52854130.00544633;0.34176934288073446
59367831.38510058;16566179.604252795;121816345380.58836;46145501182.63502;7315966.519233719;64913742.31607148;0.28094600610774956
77835178.52667858;3257769.2102894383;146760394976.05222;3065593940.0268497;12443258.429849066;60086934.50857772;0.22653348105069604
74029691.36083946;4714610.161135216;49037341624.93018;14756866702.996763;7076396.377469965;51810614.70145865;0.2834223305338748
72826914.51702404;12722256.626317572;136775791182.43665;40120969574.09661;16118230.260252649;74395398.53100121;0.20229762440721566
45717790.67970491;13959140.682175681;1630164084.3577824;28451999094.209423;10140670.479024041;48465770.0935118;0.2555909916478454
35922139.10926656;7694498.2178599145;18398436235.16664;31600586466.46024;14715796.357816214;42103520.72981741;0.23030338528998362
37798428.904893234;15491854.850115145;48184089342.70987;46721610484.27657;5686443.559096459;47821908.39151751;0.3212398111853565
45333836.565562725;9309842.775094857;142717110957.1736;68161532503.60576;12549389.164243916;58784410.831958495;0.2374012789740919
95811358.87109558;16316960.29519854;85976115019.04893;19818994284.84154;7889614.469257333;77668939.51219782;0.26259505355210666
85281608.35984199;10564098.46733605;77449992674.89117;31494021436.21285;6193753.518319973;66527164.80074276;0.29155662327871534
15389671.537406527;9429259.90547348;41920428831.38126;23942878360.909325;3573161.8727603615;25458279.563950047;0.4189397020643567
17658201.75214658;7108996.427493895;125256234247.00772;36847880378.93051;15940015.677305264;39969549.9056758;0.24643133614993207
53264406.3868778;13079714.274896257;13220414672.709568;63675683042.757805;10495156.666621566;57161597.31716822;0.248779429731679
49162752.22898918;15088471.795758946;9932683512.713602;4264309029.928366;3926333.2696762467;43758678.75626263;0.3543177541942115
75609629.58970368;10588981.994253732;27953523306.401314;27166686790.187325;16579468.922516584;66154522.94109688;0.19974911593449984
93942122.84017538;10426846.366853489;117744770913.77971;68276865212.96556;12980587.814565951;83157622.75598751;0.21688567763502276
24386308.717201255;14107139.98814217;60907152941.72035;61113613208.63536;16772919.944277605;50751716.858468145;0.22319736855671923
56418227.42633214;7927713.800242061;91088077270.37218;34496076273.685814;4339996.728451445;49243395.5016682;0.3438570966394279
77030082.69202235;8568737.241840487;23657335666.300934;37720145597.48936;6277012.83788059;58344743.75293013;0.2932186876545583
87173838.82654174;470001.8345493489;23327615848.54272;6091039557.623795;3945331.68686961;49157876.38756144;0.3414167786490204
4103309.4619520567;8919212.498706747;11307875681.698933;31534039800.762985;8710568.881979996;22511736.956923686;0.35960587437775926
