Wind_P_el_n;pV_P_inst;storage_E_max;OC;OA
5700000.0;15119744.356513776;222956668915.04025;0.9216484094143472;0.6609881028224286
5700000.0;15126482.941129925;75660734365.91272;0.8517875439894063;0.6534144417379938
5700000.0;14067774.217720896;111771102860.36209;0.8924502921833256;0.6254087856157018
5700000.0;11827799.517182143;118393767854.61453;0.934397884253069;0.5605867347176585
5700000.0;5496175.48252682;235239952097.48917;0.9984196401756924;0.3850534750306151
5700000.0;20379405.83630712;204789517893.71158;0.8251353551852358;0.8134528833874038
5700000.0;10167179.36820239;36375582407.64838;0.9226165968349953;0.5068397473926648
5700000.0;14528468.267848602;145439895670.12988;0.9005154272774836;0.6405669984172883
5700000.0;12110786.630034951;70425750799.22081;0.9063469360268146;0.5658679397084603
5700000.0;15420931.780782826;201213431993.03192;0.9088616162128943;0.6689824257173336
5700000.0;13786203.93345469;176582166268.88992;0.9260152107354201;0.6202179199004724
5700000.0;9320729.409056252;252018936826.5741;0.9917291829400429;0.4934737718805449
5700000.0;11871709.09829056;41391632894.90791;0.894045968664627;0.556193815301416
5700000.0;16660429.21584764;314918180087.3119;0.9272436229577762;0.7094427281482893
5700000.0;7978260.965377884;58269276575.287415;0.9642824956258425;0.44588599222908865
5700000.0;12841792.705729578;256178182533.40735;0.9643958887875599;0.595717411937223
5700000.0;13774636.136733027;157931424357.28043;0.9187817681328212;0.619110193530815
5700000.0;17122785.803822797;93216779856.8645;0.824204837723759;0.7124841187512863
5700000.0;11756310.966747712;172619333997.0637;0.9558387701247075;0.5608839787221869
5700000.0;13226986.206390917;358691588876.06165;0.9801334306490505;0.6110777727015394
5700000.0;667359.1699224948;160577198671.17224;0.9962030156382619;0.24779712482785074
5700000.0;5026785.703244765;42298967993.64098;0.9729319538931243;0.3616560496682353
5700000.0;10876032.244068772;174881526530.74252;0.9681358645836248;0.5353285488041973
5700000.0;16565492.091355322;151994056134.08102;0.8671339347800096;0.7002301811591941
5700000.0;4841816.081293078;102006516980.41798;0.9869788042662733;0.3601328247235358
5700000.0;11237013.936032899;181414483283.17746;0.9654681632084889;0.5460961848154666
5700000.0;7808775.9358133245;205741341275.55078;0.9928620138558246;0.4483345936211575
5700000.0;1051852.126161389;84384611223.94756;0.9844514468149677;0.25434816041965014
5700000.0;11646803.707467262;236071001511.89496;0.973796955810273;0.5601266968326983
5700000.0;6491884.463413765;186052940122.83813;0.994383017958767;0.4103542223466888
5700000.0;5692593.002723287;156027337181.23627;0.9930958321142938;0.38654283344704443
5700000.0;7157581.695748263;232739067738.2225;0.9959915693048933;0.4313290072568221
5700000.0;11347612.897323972;228068637618.7055;0.9753159023440194;0.5511096074445582
5700000.0;7119305.1377972225;154935612355.01105;0.9897124280603181;0.4264184159650852
5700000.0;6578610.42787515;277117307640.95734;0.9983463675087281;0.4174119083297872
5700000.0;7416698.39891063;144232830854.97122;0.9874615630029921;0.43430671073928107
5700000.0;19484527.43614649;254771227517.96652;0.8615612626627036;0.7895918994875685
5700000.0;14629698.381914282;147384266459.59723;0.8996369291333594;0.643610817678381
